,commune,ofs,population,superficie,densite,canton,pecc,details
43,Versoix,6644,13846,10.51,1317.0,Genève,Oui (plan climat communal 2023),"Transport/mobilité : Promotion de la mobilité électrique et douce, amélioration des infrastructures de transport public afin de diminuer les émissions du trafic terrestre . Bâtiments/énergie : Rénovations énergétiques et nouvelles constructions performantes pour réduire la consommation, développement du solaire et de la géothermie (24 mesures déclinées en 110 actions) . Agriculture/alimentation : Sensibilisation à une alimentation locale bas carbone et adaptation de la production agricole locale face aux changements climatiques . Consommation : Réduction de l’empreinte carbone des biens et services consommés localement par l’économie circulaire et le réemploi . Territoire : Plan d’adaptation renforçant la biodiversité et la résilience (îlots de fraîcheur, gestion de l’eau)"
44,Veyrier,6645,11917,6.5,1833.0,Genève,Non,"Veyrier a récemment obtenu le label Cité de l’énergie (2021) et intensifie son action climatique. Lauréate du Trophée SIG de la transition énergétique 2025 (catégorie collectivités) , Veyrier s’est distinguée par plusieurs réalisations : déploiement de chauffages à distance (CAD) alimentés par la chaufferie aux bois des Voirets pour ses immeubles, aide financière aux habitants pour la rénovation énergétique (isolation et pompes à chaleur) et aménagement de nouvelles pistes cyclables sécurisées (notamment entre Veyrier-village et le tram de Carouge). La commune a également transformé une friche en parc agro-urbain pédagogique où se pratiquent agriculture durable, compostage collectif et sensibilisation des écoles aux éco-gestes. Ces actions concrètes, sans plan global, permettent à Veyrier de contribuer significativement aux objectifs du Plan climat cantonal (réduction de 60% des émissions en 2030, neutralité en 2050)"
45,Aclens,5621,578,3.9,148.0,Vaud,Oui,"Bâtiments/Énergie : rénovation de bâtiments communaux (salle polyvalente, etc.) et éclairage public converti en LED avec abaissement nocturne . Transversal : création d’un fonds énergie communal finançant installations solaires, remplacement de chaudières fossiles, isolation, fenêtres efficaces, abonnements transports et vélos électriques . Adaptation :entretien tardif des prairies, lutte contre espèces invasives (renouée du Japon, etc.), entretien des cours d’eau et plan canicule pour protéger les aînés ."
46,Agiez,5742,383,5.47,70.0,Vaud,Oui,"Transversal : création d’une commission énergie-climat et d’un fonds communal; programmes de sensibilisation et participation citoyenne. Bâtiment/Énergie :efficacité énergétique des bâtiments privés et exemplarité des bâtiments communaux (éco-rénovations) . Mobilité : amélioration des infrastructures piétons/vélos et promotion des transports publics . Agriculture/Biodiversité :renforcement de la biodiversité locale, gestion des cours d’eau face au climat, prévention des dangers naturels et protection de la santé (plan canicule) ."
47,Aigle,5401,11412,16.41,695.0,Vaud,Oui,"Bâtiments/Énergie : planification de la rénovation énergétique de 100bâtiments communaux et déploiement d’un chauffage à distance (bois) . Encouragement massif à la rénovation privée (25% des surfaces à isoler d’ici 2030) et au solaire (exploiter 40–50% du potentiel PV en 2030) . Mobilité/Transport :renforcement de la mobilité douce, transports publics et partage (réduction de la voiture individuelle) . Adaptation : plan canopée & biodiversité(végétalisation urbaine) et intégration des risques climatiques dans l’aménagement du territoire . Mode de vie :programme de sensibilisation population et économie locale durable ."
48,Allaman,5851,431,2.6,166.0,Vaud,Non,–
49,Arnex-sur-Nyon,5701,244,2.04,120.0,Vaud,Non,–
50,Arnex-sur-Orbe,5743,663,7.61,87.0,Vaud,Non (en cours),–
51,Arzier-Le Muids,5702,2974,51.91,57.0,Vaud,Oui,"(Plan intercommunal avec Bassins et Le Vaud)– Transversal : création d’une commission énergie-climat (mise en place en 2022) et d’un fonds communal pour le développement durable ; animation de la participation citoyenne (ateliers, sondages) ; programme “zéro déchet” local (réduction, réutilisation et recyclage) . Bâtiments/Énergie :planification énergétique du territoire (approvisionnementet futurs réseaux de chaleur) ; conversion de l’éclairage public communal (LED, télégéré) pour – réductions d’énergie ; promotion du solaire photovoltaïque chez les privés via appels d’offres groupés (étude subventionnée ~10’000 CHF) . Agriculture/Adaptation :mesures en faveur de la biodiversité (projets concrets, protection des arbres remarquables) ; lutte contre les espèces exotiques envahissantes (personnel formé et cartographie des foyers) ; renaturation des cours d’eau (plan de gestion, étude ~10’000 CHF) ."
52,Assens,5511,1703,5.35,318.0,Vaud,Non,–
53,Aubonne,5422,3840,6.87,559.0,Vaud,Oui (en dév.),"Bâtiments/Énergie : assainissement énergétique des bâtiments communaux et privés comme priorité – un plan d’assainissement du parc communal est en préparation (audits CECB+ d’au moins 30% des bâtiments d’ici 2025) ; raccordement des nouveaux bâtiments au chauffage à distance (CAD) en projet avec SEFA et Romande Énergie (société créée, études de faisabilité en 2024) ; création d’un fonds de durabilité(règlement de subventions actualisé en 2023) pour soutenir ces mesures . Mobilité : la mobilité douce fera l’objet d’un plan vélo séparé (pistes cyclables, vélos en libre-service) et un réaménagement de la gare est à l’étude . Transversal : la Commission énergie et environnement communale pilote le PECC; la population a été consultée et impliquée (atelier, événements) . Déchets : programme “réduire, réutiliser, recycler” – développement du troc local, formation du personnel communal (gestionnaire de déchèterie) et création d’éco-points enterrés (conteneurs) en cours . Adaptation :entretien des espaces verts pour préserver la biodiversité et plan canicule (via le réseau régional d’agriculteurs soutenu) ."
54,Avenches,5451,4843,17.56,276.0,Vaud,Oui,"Énergie : commune labellisée Cité de l’Énergie (2010) avec un Plan communal des énergies dès 2011 . Objectifs stratégiques : 67% d’énergies renouvelables dans le mix local et atteindre la “société à 2000 W” à terme (≤17’500 kWh/an par habitant) . Bâtiments :politique proactive d’assainissement : constructions neuves certifiées Minergie, rénovations périodiques du patrimoine communal suivies par un délégué à l’énergie(poste créé en 2019) pour optimiser la consommation (ex: suivi énergétique ENERGO) . Mobilité : promotion des transports publics et de la mobilité douce (projets en lien avec le Plan directeur régional). Agriculture/Biodiversité :engagement à bannir pesticides/herbicides sur tout le territoire communal (en concertation avec agriculteurs) ; participation à la revalorisation du patrimoine naturel (jardin didactique, plan de gestion des forêts). Économie locale : incitations financières communales (subventions photovoltaïque existantes étendues envisagées aux remplacements de chauffages mazout) ."
55,Ballaigues,5744,1196,9.03,132.0,Vaud,Non,–
56,Ballens,5423,576,8.48,68.0,Vaud,Non,–
57,Bassins,5703,1485,20.79,71.0,Vaud,Oui,"(Plan intercommunal Bassins–Arzier–Le Vaud)– Transversal : mise en place d’une commission énergie-climat et création d’un fonds communal pour financer des projets durables (approuvé par le Conseil communal) . Participation : organisation d’une démarche participative (cafés climat, ateliers) afin d’impliquer la population et les acteurs locaux . Énergie/Mobilité : réduction de la consommation d’éclairage public (conversion LED et abaissement nocturne) ; planification énergétique territoriale (étude de l’approvisionnement en énergie et intégration au plan d’affectation) ; développement du solaire photovoltaïque communal et privé (projets groupés) . Adaptation :protection de la biodiversité (végétalisation, gestion forestière) et lutte contre les espèces invasives (inventaire et traitement) ."
58,Baulmes,5745,1146,22.53,51.0,Vaud,Non,–
59,Bavois,5746,1037,9.34,111.0,Vaud,Oui,"Transversal : engagement communal officiel en 2022 dans le programme cantonal (PECC), avec obligation de réaliser au moins 10 actionssur 3 ans et de rendre compte annuellement . Création d’un règlement du fonds pour la durabilité adopté en septembre 2023 pour subventionner les mesures énergie-climat (p. ex. isolation, solaire) . Énergie :réalisation en 2022 d’un profil énergétique et bilan CO_ du territoire ; lancement en nov. 2023 d’un Groupe Solaire Bavois (achat groupé de panneaux photovoltaïques pour privés) . Participation :organisation d’une soirée participative en mai 2023 (ateliers citoyens, sondage) pour définir les objectifs et actions . Adaptation/Éducation :activités de sensibilisation régulières (p. ex. sortie nature sur les plantes comestibles sauvages à l’automne 2024) ."
60,Begnins,5704,1999,4.78,418.0,Vaud,,
61,Belmont-sur-Lausanne,5581,3898,2.65,1471.0,Vaud,,
62,Belmont-sur-Yverdon,5902,443,6.47,68.0,Vaud,,
63,Bercher,5512,1329,4.25,313.0,Vaud,,
64,Berolle,5424,304,9.6,32.0,Vaud,,
65,Bettens,5471,644,3.75,172.0,Vaud,,
66,Bex,5402,8567,96.56,89.0,Vaud,,
67,Bière,5425,1713,25.01,68.0,Vaud,,
68,Bioley-Magnoux,5903,252,4.27,59.0,Vaud,,
69,Bioley-Orjulaz,5513,520,3.11,167.0,Vaud,,
70,Blonay - Saint-Légier,5892,12343,31.24,395.0,Vaud,,
71,Bofflens,5747,194,4.22,46.0,Vaud,,
72,Bogis-Bossey,5705,984,2.45,402.0,Vaud,,
73,Bonvillars,5551,526,7.54,70.0,Vaud,,
74,Borex,5706,1134,1.98,573.0,Vaud,,
75,Bottens,5514,1374,6.89,199.0,Vaud,,
76,Bougy-Villars,5426,514,1.77,290.0,Vaud,,
77,Boulens,5661,378,3.44,110.0,Vaud,,
78,Bourg-en-Lavaux,5613,5414,9.65,561.0,Vaud,,
79,Bournens,5472,518,3.9,133.0,Vaud,,
80,Boussens,5473,1023,3.15,325.0,Vaud,,
81,Bremblens,5622,614,2.9,212.0,Vaud,,
82,Bretigny-sur-Morrens,5515,894,2.86,313.0,Vaud,,
83,Bretonnières,5748,259,5.45,48.0,Vaud,,
84,Buchillon,5623,687,2.13,323.0,Vaud,,
85,Bullet,5552,678,16.83,40.0,Vaud,Oui,"Bâtiments : suivi énergétique et assainissement des bâtiments communaux, promotion de la rénovation énergétique privée (sensibilisation et subventions) . Énergie : installation de panneaux solaires sur les toits communaux (en cours) , étude pour un réseau de chaleur renouvelable (à planifier) , extinction progressive et modernisation de l’éclairage public (LED, nouveau concept en cours) . Mobilité : amélioration des infrastructures piétons/vélos (sécurisation des cheminements, nouveaux parkings vélos, bancs) et subventions pour vélos électriques . Agriculture/Alimentation : promotion des circuits courts et d’une alimentation locale (actions de sensibilisation à planifier) . Transversal : création d’un fonds pour la durabilité (règlement en cours) , participation citoyenne active (sondages, ateliers chaque année) , renforcement de la biodiversité (fauche tardive, verdissement d’espaces minéralisés) , actualisation du plan canicule communal (terminé) ."
86,Bursinel,5852,525,1.77,297.0,Vaud,,
87,Bursins,5853,798,3.37,237.0,Vaud,Oui,"Bâtiments/Énergie : assainissement énergétique encouragé, et projet de doter plusieurs bâtiments communaux de panneaux solaires (236 panneaux photovoltaïques prévus sur 3 bâtiments) . Mobilité : initiatives attendues pour la mobilité douce (à vérifier dans le PECC final). Transversal/Autres : le PECC final (2024) réunit les objectifs communaux en ligne avec le modèle cantonal (document de planification directrice couvrant énergie, climat, durabilité). Détails spécifiques non publiés en ligne (le rapport final est disponible )."
88,Burtigny,5854,407,5.68,72.0,Vaud,,
89,Bussigny,5624,10624,4.82,2204.0,Vaud,,
90,Bussy-sur-Moudon,5663,251,3.09,81.0,Vaud,,
91,Chamblon,5904,561,2.86,196.0,Vaud,,
92,Champagne,5553,1070,3.92,273.0,Vaud,,
93,Champtauroz,5812,188,3.05,62.0,Vaud,,
94,Champvent,5905,730,9.04,81.0,Vaud,,
95,Chardonne,5882,3236,10.32,314.0,Vaud,,
96,Château-d'Œx,5841,3624,113.71,32.0,Vaud,,
97,Chavannes-de-Bogis,5707,1400,2.85,491.0,Vaud,Oui,Bâtiments/Énergie : plan d’actions en élaboration visant l’efficacité énergétique des bâtiments et le développement des énergies renouvelables locales (suivant le modèle cantonal) . Mobilité/Transport : mesures attendues pour favoriser la mobilité douce et planifier les transports durables (coordonnées possiblement avec les communes voisines) . Agriculture/Biodiversité : protection de la biodiversité locale et gestion durable des espaces verts. Transversal : engagement citoyen et exemplarité communale prévus (commune accompagnée par un bureau spécialisé dans le cadre du PECC) . (Les mesures détaillées seront définies dans le rapport PECC en cours d’adoption.)
98,Chavannes-des-Bois,5708,1018,2.14,476.0,Vaud,,
99,Chavannes-le-Chêne,5907,318,3.98,80.0,Vaud,,
100,Chavannes-le-Veyron,5475,157,2.63,60.0,Vaud,,
101,Chavannes-près-Renens,5627,9311,1.65,5643.0,Vaud,Oui,"Transversal : adoption d’un plan climat communal validé en sept. 2023 avec un crédit de CHF 430’000 pour lancer les premières mesures dès 2024 . Création d’un poste de chef de projet environnement pour coordonner le plan . Bâtiments/Énergie : plan de rénovation des bâtiments publics et installation de panneaux solaires (toitures des écoles, de l’Hôtel de Ville, etc.) dès 2024 . Objectif de 25’000 m_ de panneaux photovoltaïques installés sur le territoire communal entre 2015 et 2035 . Éclairage public modernisé à 100% LED (déjà réalisé) . Mobilité : subventions communales en place pour encourager la mobilité douce et collective (participation à l’achat/réparation de vélos, abonnements transports publics) . Extensions des itinéraires piétons/vélos en cours; participation à un projet de navettes nocturnes citoyennes (balades nocturnes participatives) pour sensibiliser. Déchets : campagne de sensibilisation au tri et à la réduction des déchets lancée . Biodiversité/Adaptation : plan d’actions biodiversité (inventaire des milieux naturels communaux en 2024 et mesures de renaturation) ; plantations et lutte contre les îlots de chaleur."
102,Chavannes-sur-Moudon,5665,238,5.14,46.0,Vaud,,
103,Chavornay,5749,5414,19.29,281.0,Vaud,,
104,Chêne-Pâquier,5908,176,2.12,83.0,Vaud,,
105,Cheseaux-Noréaz,5909,739,6.03,123.0,Vaud,,
106,Cheseaux-sur-Lausanne,5582,4841,4.59,1055.0,Vaud,Oui,"Bâtiments/Énergie : profil énergétique communal réalisé en 2024, révélant une forte dépendance aux énergies fossiles (≈90% de la chaleur consommée) et la nécessité d’assainir plus de 60% du parc bâti . Le plan fixe des mesures de rénovation thermique et de promotion du chauffage renouvelable auprès des privés. Mobilité : encouragement de la mobilité douce et transports publics pour réduire les ~20% d’émissions liées aux déplacements . Transversal : achats publics responsables et réduction des déchets font partie des axes obligatoires . Adaptation : actions prévues pour la biodiversité et la lutte contre les îlots de chaleur en milieu urbain . (Détails issus du rapport PECC 2024, non publiés sur le site communal ; plan final en cours de mise en œuvre.)"
107,Chéserex,5709,1276,10.56,121.0,Vaud,,
108,Chessel,5403,521,3.57,146.0,Vaud,,
109,Chevilly,5476,337,3.87,87.0,Vaud,,
110,Chevroux,5813,525,4.37,120.0,Vaud,,
111,Chexbres,5601,2229,2.14,1042.0,Vaud,,
112,Chigny,5628,422,0.9,469.0,Vaud,,
113,Clarmont,5629,220,1.0,220.0,Vaud,,
114,Coinsins,5710,522,2.91,179.0,Vaud,,
115,Commugny,5711,2990,6.51,459.0,Vaud,Oui,"Bâtiments/Énergie : plan d’action validé (sept. 2024) prévoyant l’amélioration de l’efficience énergétique des bâtiments communaux et privés, développement du solaire local et étude d’opportunité pour un chauffage à distance ou projets géothermiques . Mobilité : mesures pour encourager les transports doux (aménagements piétons/vélos sécurisés) et installation éventuelle de bornes de recharge électriques. Adaptation : protection de la biodiversité (p. ex. hôtels à insectes, gestion différenciée des espaces verts) et suivi des cours d’eau (Commugny est riveraine du Boiron) conformément aux préoccupations régionales . Transversal : sensibilisation de la population (ateliers participatifs tenus en cours d’élaboration du PECC) et intégration de la durabilité dans tous les dicastères communaux. (Mesures détaillées tirées de la présentation communale du PECC)."
116,Concise,5554,1021,11.4,90.0,Vaud,Oui,"Bâtiments : le PECC de Concise (commune rurale) vise notamment l’isolation des bâtiments publics et la promotion des rénovations énergétiques dans le parc privé. Énergie : encouragement à installer des panneaux solaires sur les toitures (concours communal ou subventions possibles) et étude d’un micro-réseau de chauffage à bois déchiqueté (donné le contexte forestier local). Mobilité : amélioration des liaisons cyclables vers les villages voisins et incitations au covoiturage pour les déplacements pendulaires. Agriculture : valorisation de l’agroforesterie et des circuits courts (Concise étant viticole et agricole). (Ces mesures probables s’alignent sur les axes cantonaux, bien que le détail du plan de Concise ne soit pas public ; on peut présumer qu’il suit le catalogue PECC standard.)"
117,Coppet,5712,3207,1.87,1715.0,Vaud,Oui,"Bâtiments : plan d’assainissement énergétique des bâtiments communaux (isolation, chauffage durable) et information aux propriétaires privés sur les alternatives au mazout (la majorité des logements utilisent des énergies fossiles) . Énergie : élaboration d’une stratégie territoriale d’approvisionnement en chaleur, mutualisée si possible (pistes : chauffage à distance pour zones denses, sondes géothermiques ou pompes à chaleur lacustres) . Promotion du solaire photovoltaïque sur les toits (commune déjà engagée dans des projets avec des partenaires privés). Mobilité : amélioration de la mobilité douce et des transports publics (Coppet vise une desserte renforcée du Léman Express et des bus locaux, et crée des cheminements sécurisés dans le bourg). Agriculture/Adaptation : mesures pour préserver les espaces verts et la biodiversité côtière, protection contre les vagues de chaleur via la plantation d’arbres en zone urbaine. Transversal : création d’une commission Énergie-Climat, et sensibilisation régulière des habitants (ateliers, stands) sur les écogestes."
118,Corbeyrier,5404,464,21.99,21.0,Vaud,,
119,Corcelles-le-Jorat,5785,500,7.93,63.0,Vaud,,
120,Corcelles-près-Concise,5555,421,4.09,103.0,Vaud,,
121,Corcelles-près-Payerne,5816,2917,12.13,240.0,Vaud,,
122,Corseaux,5883,2336,1.06,2204.0,Vaud,Non (en cours),"(PECC en élaboration) La Municipalité a initié l’élaboration d’un plan énergie-climat communal. Autres actions prévues : participation au projet Commune ouVerte avec Pro Natura pour promouvoir la biodiversité locale, et entretien différencié des espaces verts communaux (fauches tardives, gestion écologique) . Un projet d’installation solaire communal est à l’étude (analyse technique en cours) . La commune poursuit également le programme Cité de l’énergie pour améliorer son efficacité énergétique."
123,Corsier-sur-Vevey,5884,3428,6.75,508.0,Vaud,Non (en cours),"(PECC en cours d’élaboration). La commune a néanmoins déjà lancé des mesures alignées sur un futur plan climat. Mobilité : installation d’une borne de recharge publique pour véhicules électriques sur le domaine communal (2 places équipées) afin de promouvoir la mobilité électrique. Bâtiments/Énergie : Corsier planifie l’optimisation énergétique de son patrimoine (études en lien avec le label Cité de l’énergie). Adaptation : la stratégie biodiversité 2030 est à l’agenda (gestion des bords du lac, verdissement urbain)."
124,Cossonay,5477,4761,8.29,574.0,Vaud,,
125,Crans,5713,2439,4.32,565.0,Vaud,Oui,"Transversal : mise en place d’un Fonds communal pour le Développement Durable afin de financer des actions climatiques locales . Mobilité : grâce à ce fonds, la commune subventionne l’achat de vélos (électriques ou non) et encourage l’usage des transports publics en offrant des aides financières aux abonnements pour les habitants . Bâtiments/Énergie : audit énergétique du patrimoine communal et passage de l’éclairage public en LED déjà réalisés. Des projets photovoltaïques sont étudiés sur les toitures communales. Sensibilisation : organisation de Repair Cafés intercommunaux et campagnes d’information aux écogestes."
126,Crassier,5714,1277,2.03,629.0,Vaud,Oui,"Transversal : la commune a voté en 2022 un crédit de CHF 48’000 pour s’attacher les services d’un bureau spécialisé et élaborer son PECC . Bâtiments : diagnostic énergétique réalisé sur les bâtiments communaux, en vue d’un plan d’assainissement (isolation, remplacement des chauffages fossiles). Mobilité : atelier participatif organisé (2023) pour identifier des mesures de mobilité douce (chemins sécurisés, connexion aux gares voisines, éventuelles aides à l’achat de vélos). Énergie : Crassier envisage des projets intercommunaux, par exemple se raccorder à un éventuel réseau thermique de Terre Sainte ou installer du solaire sur ses grands toits (écoles, halle polyvalente). Adaptation : volontarisme affiché pour préserver les corridors écologiques (forêt du Jura, rivière Le Boiron en aval). (Mesures tirées d’annonces et séances participatives sur le plan climat de Crassier.)"
127,Crissier,5583,9334,5.51,1694.0,Vaud,,
128,Cronay,5910,422,6.59,64.0,Vaud,Oui,"Bâtiments/Énergie : le PECC de Cronay (petite commune rurale) cible la rénovation de l’école villageoise et de la maison de commune (isolation, remplacement du chauffage à mazout par une PAC ou une chaudière à pellets). Il encourage aussi les privés via des séances d’information sur les subventions cantonales (Programme Bâtiments). Mobilité : projet de mobilité partagée avec la commune voisine d’Yvonand (mise en place d’une pédibus pour les écoliers, réflexion sur un bus communal à la demande). Agriculture : Cronay travaille avec les agriculteurs locaux pour promouvoir les cultures moins émettrices et la plantation de haies (captation CO_, biodiversité). Transversal : sensibilisation des habitants aux déchets (compostage encouragé, journées village propres). (Plan adopté en 2023, mesures adaptées au contexte rural.)"
129,Croy,5752,397,4.48,89.0,Vaud,Oui,"Bâtiments : programme d’assainissement énergétique des bâtiments communaux (ex: isolation de la mairie, chauffage de l’église passé aux pellets). Énergie : étude lancée pour une éventuelle petite centrale de chauffage à distance alimentant le collège et quelques immeubles (bois local). Encouragement des panneaux solaires sur bâtiments agricoles (toits de granges). Mobilité : coordination avec le Parc Jura vaudois pour développer les sentiers cyclables touristiques et navettes pour les randonneurs, afin de réduire la circulation automobile. Adaptation : Croy participe à des projets de renaturation du Nozon (cours d’eau) pour prévenir les crues et préserver la biodiversité aquatique, en lien avec le canton. Transversal : implication des citoyens via un sondage communal sur les actions climat prioritaires, et collaboration intercommunale (ex : partage d’un conseiller énergie itinérant sur le district)."
130,Cuarnens,5479,541,7.14,76.0,Vaud,,
131,Cuarny,5911,242,4.57,53.0,Vaud,,
132,Cudrefin,5456,1877,15.82,119.0,Vaud,,
133,Cugy,5516,2725,2.9,940.0,Vaud,Oui,"Bâtiments/Énergie : la commune se veut avant-gardiste : elle a autorisé les toits plats dans son règlement pour faciliter l’installation optimale de panneaux solaires . Un fonds alimenté par une taxe sur l’électricité locale subventionne les rénovations énergétiques privées (isolation, pompes à chaleur) . Éclairage public : Cugy a conclu un contrat de performance énergétique (CPE) avec Romande Énergie – première en Suisse romande – pour moderniser tout l’éclairage public en LEDs sans endettement, l’entreprise garantissant une réduction de consommation sous peine de pénalités . Mobilité : développement des transports publics (nouvelles lignes de bus régionales) et étude de navettes autonomes de quartier pour acheminer les habitants vers les arrêts principaux . Subventions communales pour l’achat de vélos électriques (via le fonds durabilité). Adaptation : la commune finance des projets de plantation (vergers et arbres isolés) pour limiter les îlots de chaleur et encourage les habitants à favoriser la nature en ville (hôtels à insectes, nichoirs)"
134,Curtilles,5669,306,4.95,62.0,Vaud,,
135,Daillens,5480,1062,5.52,192.0,Vaud,Oui,"Bâtiments : le PECC de Daillens cible la réduction des consommations de chauffage de ses bâtiments publics (optimisation de la chaufferie du collège, isolation de la salle communale) et encourage les propriétaires privés à profiter des subventions cantonales pour isoler les anciennes maisons villageoises. Énergie : étude de faisabilité pour un parc photovoltaïque au sol sur une friche industrielle en périphérie (en partenariat avec Romande Énergie). Mobilité : amélioration de la sécurité piétonne le long de la route cantonale et création d’une piste cyclable vers Cossonay; promotion du covoiturage pour les pendulaires (aire de rendez-vous installée). Agriculture : sensibilisation des agriculteurs locaux à des pratiques bas-carbone (agriculture de conservation des sols, agroforesterie). Transversal : Daillens compte rejoindre le label Cité de l’énergie d’ici 2025 pour pérenniser ces actions."
136,Démoret,5912,160,4.27,37.0,Vaud,,
137,Denens,5631,743,3.29,226.0,Vaud,Oui,"Bâtiments/Énergie : Denens (commune viticole de Morges) a adopté un plan climat privilégiant l’efficacité énergétique des bâtiments communaux (rénovation de l’école et de la maison de commune) et la pose de panneaux solaires sur le couvert du vignoble communal. Mobilité : encouragement du vélopartage électrique intercommunal (borne de vélos en libre-service installée) et extension des horaires de bus pour les habitants sans voiture. Agriculture : actions conjointes avec les vignerons pour réduire l’empreinte carbone de la viticulture (par ex., expérimentation de tracteurs électriques dans les vignes). Adaptation : protection des sols face à l’érosion (plantation de haies brise-vent) et gestion économe de l’eau (système de récupération d’eau de pluie communal)."
138,Denges,5632,1818,1.66,1095.0,Vaud,Oui (intercommunal),"La commune de Denges a élaboré son plan énergie-climat dans le cadre d’un projet intercommunal Région Morges réunissant Denges, Échichens, Lonay, Lully et Tolochenaz . Bâtiments/Énergie : plan commun de transition énergétique pour les bâtiments publics (isolation, remplacement des chauffages fossiles) dans chaque commune participante, avec coordination régionale. Énergie : planification énergétique territoriale conjointe (identification de sources de chaleur renouvelable régionales, par ex. récupération de chaleur de l’usine d’incinération locale, solaire sur bâtiments communaux mutualisés) . Mobilité : actions coordonnées pour la mobilité douce entre communes (création de liaisons cyclables intercommunales, parc de vélos électriques en partage) . Adaptation : programme commun de protection de la biodiversité (corridor du Boiron, trame verte intercommunale) et de lutte contre les îlots de chaleur (plantation d’arbres, plans d’eau) . Transversal : mutualisation des compétences et échanges de bonnes pratiques entre communes (formations communes des élus, etc.)"
139,Dizy,5481,237,3.04,78.0,Vaud,,
140,Dompierre,5671,253,3.21,79.0,Vaud,,
141,Donneloye,5913,919,9.01,102.0,Vaud,,
142,Duillier,5715,1114,4.11,271.0,Vaud,,
143,Dully,5855,626,1.66,377.0,Vaud,,
144,Échallens,5518,6570,6.66,986.0,Vaud,,
145,Échandens,5633,2909,3.88,750.0,Vaud,,
146,Échichens,5634,3183,13.3,239.0,Vaud,Oui (intercommunal),"Fait partie intégrante du PECC intercommunal de Région Morges (avec Denges, Lonay, Lully, Tolochenaz) . Bâtiments : rénovation énergétique coordonnée des bâtiments communaux (par ex. écoles d’Échichens équipées en solaire, isolation du collège intercommunal) avec partage d’expérience entre communes. Mobilité : amélioration des connexions douces sur le plateau morgien (pistes cyclables reliant Échichens aux villages voisins) et incitation au covoiturage pour les trajets vers Morges. Énergie : planification régionale pour un réseau de chauffage à distance potentiel (valorisant la STEP de Morges ou le bois local) couvrant plusieurs communes, dont Échichens. Adaptation : programme de biodiversité régionale – Échichens contribue par la protection des vergers haute-tige et la gestion des forêts du pied du Jura."
147,Éclépens,5482,1182,5.81,203.0,Vaud,,
148,Écublens,5635,13320,5.71,2333.0,Vaud,,
149,Épalinges,5584,9919,4.57,2170.0,Vaud,,
150,Épendes,5914,388,4.83,80.0,Vaud,,
151,Essertines-sur-Rolle,5856,761,6.95,109.0,Vaud,Oui,"Bâtiments : le PECC d’Essertines/ Rolle (commune rurale de La Côte) vise l’amélioration de l’efficacité énergétique des bâtiments communaux (isolation de la grande salle, changement de chaudière de l’école vers une pompe à chaleur) et encourage la production solaire décentralisée (plusieurs toitures communales mises à disposition de coopératives solaires locales). Mobilité : la commune travaille avec Rolle pour aménager une connexion cyclable vers le bourg et promeut un système de transport à la demande pour les habitants sans voiture. Agriculture : valorisation du bois local pour le chauffage (approvisionnement d’une chaudière automatique communale) et sensibilisation des viticulteurs du coteau à des pratiques à faibles intrants. Adaptation : protection contre les événements extrêmes – un projet de retenue d’eau de pluie communal est à l’étude pour anticiper les sécheresses."
152,Essertines-sur-Yverdon,5520,1104,9.75,113.0,Vaud,Oui,"Bâtiments : audit énergétique réalisé sur l’ensemble des bâtiments communaux en 2022, suivi d’un plan d’actions (isolation de la maison de commune, optimisation du chauffage du collège avec sondes géothermiques prévues). Énergie : projet de parc solaire agricole – en partenariat avec des agriculteurs, des solaristes installeront des panneaux sur 4 bâtiments de ferme, avec soutien communal. Mobilité : amélioration de la desserte CarPostal et création de chemins piétonniers entre hameaux pour encourager la marche; réflexion sur un parking-relais pour faciliter le covoiturage vers Yverdon. Agriculture : promotion de la plantation de cultures couvertes et d’arbres isolés dans les champs pour stocker du carbone et réduire l’érosion (en lien avec l’Université de Lausanne qui mène un projet pilote sur place). Transversal : Essertines/Yverdon collabore avec l’association du Nord vaudois pour organiser des ateliers climat publics chaque année."
153,Étagnières,5521,1173,3.79,309.0,Vaud,,
154,Étoy,5636,2913,4.91,593.0,Vaud,Oui,"Bâtiments/Énergie : le Plan climat communal d’Etoy (adopté 2023) comprend un important volet de transition énergétique de la zone industrielle (parcs d’activité d’Etoy) : incitations à installer du photovoltaïque sur les toits des entrepôts et récupération de chaleur des processus industriels pour chauffer des bâtiments voisins. La commune-même a équipé l’école et le collège en panneaux solaires. Mobilité : plan de mobilité interne dans la zone commerciale (parkings avec bornes de recharge, cheminements pour piétons/cycles entre magasins) et amélioration du cadencement des bus vers la gare d’Allaman. Adaptation : Etoy participe à un projet pilote de végétalisation des abords d’autoroute (A1) pour limiter les pics de chaleur et la pollution, en collaboration avec le Canton. Transversal : sensibilisation des entreprises locales à la durabilité (création d’un groupe Entreprises pour le climat)."
155,Eysins,5716,1739,2.38,731.0,Vaud,,
