commune,ofs,population,superficie,densite,canton,pecc,details
Versoix,6644,13 846,"10,51",1 317,Genève,Oui (plan climat communal 2023),"Transport/mobilité : Promotion de la mobilité électrique et douce, amélioration des infrastructures de transport public afin de diminuer les émissions du trafic terrestre . Bâtiments/énergie : Rénovations énergétiques et nouvelles constructions performantes pour réduire la consommation, développement du solaire et de la géothermie (24 mesures déclinées en 110 actions) . Agriculture/alimentation : Sensibilisation à une alimentation locale bas carbone et adaptation de la production agricole locale face aux changements climatiques . Consommation : Réduction de l’empreinte carbone des biens et services consommés localement par l’économie circulaire et le réemploi . Territoire : Plan d’adaptation renforçant la biodiversité et la résilience (îlots de fraîcheur, gestion de l’eau)"
Veyrier,6645,11 917,"6,5",1 833,Genève,Non,"Veyrier a récemment obtenu le label Cité de l’énergie (2021) et intensifie son action climatique. Lauréate du Trophée SIG de la transition énergétique 2025 (catégorie collectivités) , Veyrier s’est distinguée par plusieurs réalisations : déploiement de chauffages à distance (CAD) alimentés par la chaufferie aux bois des Voirets pour ses immeubles, aide financière aux habitants pour la rénovation énergétique (isolation et pompes à chaleur) et aménagement de nouvelles pistes cyclables sécurisées (notamment entre Veyrier-village et le tram de Carouge). La commune a également transformé une friche en parc agro-urbain pédagogique où se pratiquent agriculture durable, compostage collectif et sensibilisation des écoles aux éco-gestes. Ces actions concrètes, sans plan global, permettent à Veyrier de contribuer significativement aux objectifs du Plan climat cantonal (réduction de 60% des émissions en 2030, neutralité en 2050)"
Aclens,5621,578.00,"3,9",148,Vaud,Oui,"Bâtiments/Énergie : rénovation de bâtiments communaux (salle polyvalente, etc.) et éclairage public converti en LED avec abaissement nocturne . Transversal : création d’un fonds énergie communal finançant installations solaires, remplacement de chaudières fossiles, isolation, fenêtres efficaces, abonnements transports et vélos électriques . Adaptation :entretien tardif des prairies, lutte contre espèces invasives (renouée du Japon, etc.), entretien des cours d’eau et plan canicule pour protéger les aînés ."
Agiez,5742,383.00,"5,47",70,Vaud,Oui,"Transversal : création d’une commission énergie-climat et d’un fonds communal; programmes de sensibilisation et participation citoyenne. Bâtiment/Énergie :efficacité énergétique des bâtiments privés et exemplarité des bâtiments communaux (éco-rénovations) . Mobilité : amélioration des infrastructures piétons/vélos et promotion des transports publics . Agriculture/Biodiversité :renforcement de la biodiversité locale, gestion des cours d’eau face au climat, prévention des dangers naturels et protection de la santé (plan canicule) ."
Aigle,5401,11 412,"16,41",695,Vaud,Oui,"Bâtiments/Énergie : planification de la rénovation énergétique de 100bâtiments communaux et déploiement d’un chauffage à distance (bois) . Encouragement massif à la rénovation privée (25% des surfaces à isoler d’ici 2030) et au solaire (exploiter 40–50% du potentiel PV en 2030) . Mobilité/Transport :renforcement de la mobilité douce, transports publics et partage (réduction de la voiture individuelle) . Adaptation : plan canopée & biodiversité(végétalisation urbaine) et intégration des risques climatiques dans l’aménagement du territoire . Mode de vie :programme de sensibilisation population et économie locale durable ."
Allaman,5851,431.00,"2,6",166,Vaud,Non,–
Arnex-sur-Nyon,5701,244.00,"2,04",120,Vaud,Non,–
Arnex-sur-Orbe,5743,663.00,"7,61",87,Vaud,Non (en cours),–
Arzier-Le Muids,5702,2 974,"51,91",57,Vaud,Oui,"(Plan intercommunal avec Bassins et Le Vaud)– Transversal : création d’une commission énergie-climat (mise en place en 2022) et d’un fonds communal pour le développement durable ; animation de la participation citoyenne (ateliers, sondages) ; programme “zéro déchet” local (réduction, réutilisation et recyclage) . Bâtiments/Énergie :planification énergétique du territoire (approvisionnementet futurs réseaux de chaleur) ; conversion de l’éclairage public communal (LED, télégéré) pour – réductions d’énergie ; promotion du solaire photovoltaïque chez les privés via appels d’offres groupés (étude subventionnée ~10’000 CHF) . Agriculture/Adaptation :mesures en faveur de la biodiversité (projets concrets, protection des arbres remarquables) ; lutte contre les espèces exotiques envahissantes (personnel formé et cartographie des foyers) ; renaturation des cours d’eau (plan de gestion, étude ~10’000 CHF) ."
Assens,5511,1 703,"5,35",318,Vaud,Non,–
Aubonne,5422,3 840,"6,87",559,Vaud,Oui (en dév.),"Bâtiments/Énergie : assainissement énergétique des bâtiments communaux et privés comme priorité – un plan d’assainissement du parc communal est en préparation (audits CECB+ d’au moins 30% des bâtiments d’ici 2025) ; raccordement des nouveaux bâtiments au chauffage à distance (CAD) en projet avec SEFA et Romande Énergie (société créée, études de faisabilité en 2024) ; création d’un fonds de durabilité(règlement de subventions actualisé en 2023) pour soutenir ces mesures . Mobilité : la mobilité douce fera l’objet d’un plan vélo séparé (pistes cyclables, vélos en libre-service) et un réaménagement de la gare est à l’étude . Transversal : la Commission énergie et environnement communale pilote le PECC; la population a été consultée et impliquée (atelier, événements) . Déchets : programme “réduire, réutiliser, recycler” – développement du troc local, formation du personnel communal (gestionnaire de déchèterie) et création d’éco-points enterrés (conteneurs) en cours . Adaptation :entretien des espaces verts pour préserver la biodiversité et plan canicule (via le réseau régional d’agriculteurs soutenu) ."
Avenches,5451,4 843,"17,56",276,Vaud,Oui,"Énergie : commune labellisée Cité de l’Énergie (2010) avec un Plan communal des énergies dès 2011 . Objectifs stratégiques : 67% d’énergies renouvelables dans le mix local et atteindre la “société à 2000 W” à terme (≤17’500 kWh/an par habitant) . Bâtiments :politique proactive d’assainissement : constructions neuves certifiées Minergie, rénovations périodiques du patrimoine communal suivies par un délégué à l’énergie(poste créé en 2019) pour optimiser la consommation (ex: suivi énergétique ENERGO) . Mobilité : promotion des transports publics et de la mobilité douce (projets en lien avec le Plan directeur régional). Agriculture/Biodiversité :engagement à bannir pesticides/herbicides sur tout le territoire communal (en concertation avec agriculteurs) ; participation à la revalorisation du patrimoine naturel (jardin didactique, plan de gestion des forêts). Économie locale : incitations financières communales (subventions photovoltaïque existantes étendues envisagées aux remplacements de chauffages mazout) ."
Ballaigues,5744,1 196,"9,03",132,Vaud,Non,–
Ballens,5423,576.00,"8,48",68,Vaud,Non,–
Bassins,5703,1 485,"20,79",71,Vaud,Oui,"(Plan intercommunal Bassins–Arzier–Le Vaud)– Transversal : mise en place d’une commission énergie-climat et création d’un fonds communal pour financer des projets durables (approuvé par le Conseil communal) . Participation : organisation d’une démarche participative (cafés climat, ateliers) afin d’impliquer la population et les acteurs locaux . Énergie/Mobilité : réduction de la consommation d’éclairage public (conversion LED et abaissement nocturne) ; planification énergétique territoriale (étude de l’approvisionnement en énergie et intégration au plan d’affectation) ; développement du solaire photovoltaïque communal et privé (projets groupés) . Adaptation :protection de la biodiversité (végétalisation, gestion forestière) et lutte contre les espèces invasives (inventaire et traitement) ."
Baulmes,5745,1 146,"22,53",51,Vaud,Non,–
Bavois,5746,1 037,"9,34",111,Vaud,Oui,"Transversal : engagement communal officiel en 2022 dans le programme cantonal (PECC), avec obligation de réaliser au moins 10 actionssur 3 ans et de rendre compte annuellement . Création d’un règlement du fonds pour la durabilité adopté en septembre 2023 pour subventionner les mesures énergie-climat (p. ex. isolation, solaire) . Énergie :réalisation en 2022 d’un profil énergétique et bilan CO_ du territoire ; lancement en nov. 2023 d’un Groupe Solaire Bavois (achat groupé de panneaux photovoltaïques pour privés) . Participation :organisation d’une soirée participative en mai 2023 (ateliers citoyens, sondage) pour définir les objectifs et actions . Adaptation/Éducation :activités de sensibilisation régulières (p. ex. sortie nature sur les plantes comestibles sauvages à l’automne 2024) ."
Begnins,5704,1 999,"4,78",418,Vaud,,
Belmont-sur-Lausanne,5581,3 898,"2,65",1471,Vaud,,
Belmont-sur-Yverdon,5902,443.00,"6,47",68,Vaud,,
Bercher,5512,1 329,"4,25",313,Vaud,,
Berolle,5424,304.00,"9,6",32,Vaud,,
Bettens,5471,644.00,"3,75",172,Vaud,,
Bex,5402,8 567,"96,56",89,Vaud,,
Bière,5425,1 713,"25,01",68,Vaud,,
Bioley-Magnoux,5903,252.00,"4,27",59,Vaud,,
Bioley-Orjulaz,5513,520.00,"3,11",167,Vaud,,
Blonay - Saint-Légier,5892,12 343,"31,24",395,Vaud,,
Bofflens,5747,194.00,"4,22",46,Vaud,,
Bogis-Bossey,5705,984.00,"2,45",402,Vaud,,
Bonvillars,5551,526.00,"7,54",70,Vaud,,
Borex,5706,1 134,"1,98",573,Vaud,,
Bottens,5514,1 374,"6,89",199,Vaud,,
Bougy-Villars,5426,514.00,"1,77",290,Vaud,,
Boulens,5661,378.00,"3,44",110,Vaud,,
Bourg-en-Lavaux,5613,5 414,"9,65",561,Vaud,,
Bournens,5472,518.00,"3,9",133,Vaud,,
Boussens,5473,1 023,"3,15",325,Vaud,,
Bremblens,5622,614.00,"2,9",212,Vaud,,
Bretigny-sur-Morrens,5515,894.00,"2,86",313,Vaud,,
Bretonnières,5748,259.00,"5,45",48,Vaud,,
Buchillon,5623,687.00,"2,13",323,Vaud,,
Bullet,5552,678.00,"16,83",40,Vaud,Oui,"Bâtiments : suivi énergétique et assainissement des bâtiments communaux, promotion de la rénovation énergétique privée (sensibilisation et subventions) . Énergie : installation de panneaux solaires sur les toits communaux (en cours) , étude pour un réseau de chaleur renouvelable (à planifier) , extinction progressive et modernisation de l’éclairage public (LED, nouveau concept en cours) . Mobilité : amélioration des infrastructures piétons/vélos (sécurisation des cheminements, nouveaux parkings vélos, bancs) et subventions pour vélos électriques . Agriculture/Alimentation : promotion des circuits courts et d’une alimentation locale (actions de sensibilisation à planifier) . Transversal : création d’un fonds pour la durabilité (règlement en cours) , participation citoyenne active (sondages, ateliers chaque année) , renforcement de la biodiversité (fauche tardive, verdissement d’espaces minéralisés) , actualisation du plan canicule communal (terminé) ."
Bursinel,5852,525.00,"1,77",297,Vaud,,
Bursins,5853,798.00,"3,37",237,Vaud,Oui,"Bâtiments/Énergie : assainissement énergétique encouragé, et projet de doter plusieurs bâtiments communaux de panneaux solaires (236 panneaux photovoltaïques prévus sur 3 bâtiments) . Mobilité : initiatives attendues pour la mobilité douce (à vérifier dans le PECC final). Transversal/Autres : le PECC final (2024) réunit les objectifs communaux en ligne avec le modèle cantonal (document de planification directrice couvrant énergie, climat, durabilité). Détails spécifiques non publiés en ligne (le rapport final est disponible )."
Burtigny,5854,407.00,"5,68",72,Vaud,,
Bussigny,5624,10 624,"4,82",2204,Vaud,,
Bussy-sur-Moudon,5663,251.00,"3,09",81,Vaud,,
Chamblon,5904,561.00,"2,86",196,Vaud,,
Champagne,5553,1 070,"3,92",273,Vaud,,
Champtauroz,5812,188.00,"3,05",62,Vaud,,
Champvent,5905,730.00,"9,04",81,Vaud,,
Chardonne,5882,3 236,"10,32",314,Vaud,,
Château-d'Œx,5841,3 624,"113,71",32,Vaud,,
Chavannes-de-Bogis,5707,1 400,"2,85",491,Vaud,Oui,Bâtiments/Énergie : plan d’actions en élaboration visant l’efficacité énergétique des bâtiments et le développement des énergies renouvelables locales (suivant le modèle cantonal) . Mobilité/Transport : mesures attendues pour favoriser la mobilité douce et planifier les transports durables (coordonnées possiblement avec les communes voisines) . Agriculture/Biodiversité : protection de la biodiversité locale et gestion durable des espaces verts. Transversal : engagement citoyen et exemplarité communale prévus (commune accompagnée par un bureau spécialisé dans le cadre du PECC) . (Les mesures détaillées seront définies dans le rapport PECC en cours d’adoption.)
Chavannes-des-Bois,5708,1 018,"2,14",476,Vaud,,
Chavannes-le-Chêne,5907,318.00,"3,98",80,Vaud,,
Chavannes-le-Veyron,5475,157.00,"2,63",60,Vaud,,
Chavannes-près-Renens,5627,9 311,"1,65",5643,Vaud,Oui,"Transversal : adoption d’un plan climat communal validé en sept. 2023 avec un crédit de CHF 430’000 pour lancer les premières mesures dès 2024 . Création d’un poste de chef de projet environnement pour coordonner le plan . Bâtiments/Énergie : plan de rénovation des bâtiments publics et installation de panneaux solaires (toitures des écoles, de l’Hôtel de Ville, etc.) dès 2024 . Objectif de 25’000 m_ de panneaux photovoltaïques installés sur le territoire communal entre 2015 et 2035 . Éclairage public modernisé à 100% LED (déjà réalisé) . Mobilité : subventions communales en place pour encourager la mobilité douce et collective (participation à l’achat/réparation de vélos, abonnements transports publics) . Extensions des itinéraires piétons/vélos en cours; participation à un projet de navettes nocturnes citoyennes (balades nocturnes participatives) pour sensibiliser. Déchets : campagne de sensibilisation au tri et à la réduction des déchets lancée . Biodiversité/Adaptation : plan d’actions biodiversité (inventaire des milieux naturels communaux en 2024 et mesures de renaturation) ; plantations et lutte contre les îlots de chaleur."
Chavannes-sur-Moudon,5665,238.00,"5,14",46,Vaud,,
Chavornay,5749,5 414,"19,29",281,Vaud,,
Chêne-Pâquier,5908,176.00,"2,12",83,Vaud,,
Cheseaux-Noréaz,5909,739.00,"6,03",123,Vaud,,
Cheseaux-sur-Lausanne,5582,4 841,"4,59",1055,Vaud,Oui,"Bâtiments/Énergie : profil énergétique communal réalisé en 2024, révélant une forte dépendance aux énergies fossiles (≈90% de la chaleur consommée) et la nécessité d’assainir plus de 60% du parc bâti . Le plan fixe des mesures de rénovation thermique et de promotion du chauffage renouvelable auprès des privés. Mobilité : encouragement de la mobilité douce et transports publics pour réduire les ~20% d’émissions liées aux déplacements . Transversal : achats publics responsables et réduction des déchets font partie des axes obligatoires . Adaptation : actions prévues pour la biodiversité et la lutte contre les îlots de chaleur en milieu urbain . (Détails issus du rapport PECC 2024, non publiés sur le site communal ; plan final en cours de mise en œuvre.)"
Chéserex,5709,1 276,"10,56",121,Vaud,,
Chessel,5403,521.00,"3,57",146,Vaud,,
Chevilly,5476,337.00,"3,87",87,Vaud,,
Chevroux,5813,525.00,"4,37",120,Vaud,,
Chexbres,5601,2 229,"2,14",1042,Vaud,,
Chigny,5628,422.00,"0,9",469,Vaud,,
Clarmont,5629,220.00,1,220,Vaud,,
Coinsins,5710,522.00,"2,91",179,Vaud,,
Commugny,5711,2 990,"6,51",459,Vaud,Oui,"Bâtiments/Énergie : plan d’action validé (sept. 2024) prévoyant l’amélioration de l’efficience énergétique des bâtiments communaux et privés, développement du solaire local et étude d’opportunité pour un chauffage à distance ou projets géothermiques . Mobilité : mesures pour encourager les transports doux (aménagements piétons/vélos sécurisés) et installation éventuelle de bornes de recharge électriques. Adaptation : protection de la biodiversité (p. ex. hôtels à insectes, gestion différenciée des espaces verts) et suivi des cours d’eau (Commugny est riveraine du Boiron) conformément aux préoccupations régionales . Transversal : sensibilisation de la population (ateliers participatifs tenus en cours d’élaboration du PECC) et intégration de la durabilité dans tous les dicastères communaux. (Mesures détaillées tirées de la présentation communale du PECC)."
Concise,5554,1 021,"11,4",90,Vaud,Oui,"Bâtiments : le PECC de Concise (commune rurale) vise notamment l’isolation des bâtiments publics et la promotion des rénovations énergétiques dans le parc privé. Énergie : encouragement à installer des panneaux solaires sur les toitures (concours communal ou subventions possibles) et étude d’un micro-réseau de chauffage à bois déchiqueté (donné le contexte forestier local). Mobilité : amélioration des liaisons cyclables vers les villages voisins et incitations au covoiturage pour les déplacements pendulaires. Agriculture : valorisation de l’agroforesterie et des circuits courts (Concise étant viticole et agricole). (Ces mesures probables s’alignent sur les axes cantonaux, bien que le détail du plan de Concise ne soit pas public ; on peut présumer qu’il suit le catalogue PECC standard.)"
Coppet,5712,3 207,"1,87",1715,Vaud,Oui,"Bâtiments : plan d’assainissement énergétique des bâtiments communaux (isolation, chauffage durable) et information aux propriétaires privés sur les alternatives au mazout (la majorité des logements utilisent des énergies fossiles) . Énergie : élaboration d’une stratégie territoriale d’approvisionnement en chaleur, mutualisée si possible (pistes : chauffage à distance pour zones denses, sondes géothermiques ou pompes à chaleur lacustres) . Promotion du solaire photovoltaïque sur les toits (commune déjà engagée dans des projets avec des partenaires privés). Mobilité : amélioration de la mobilité douce et des transports publics (Coppet vise une desserte renforcée du Léman Express et des bus locaux, et crée des cheminements sécurisés dans le bourg). Agriculture/Adaptation : mesures pour préserver les espaces verts et la biodiversité côtière, protection contre les vagues de chaleur via la plantation d’arbres en zone urbaine. Transversal : création d’une commission Énergie-Climat, et sensibilisation régulière des habitants (ateliers, stands) sur les écogestes."
Corbeyrier,5404,464.00,"21,99",21,Vaud,,
Corcelles-le-Jorat,5785,500.00,"7,93",63,Vaud,,
Corcelles-près-Concise,5555,421.00,"4,09",103,Vaud,,
Corcelles-près-Payerne,5816,2 917,"12,13",240,Vaud,,
Corseaux,5883,2 336,"1,06",2204,Vaud,Non (en cours),"(PECC en élaboration) La Municipalité a initié l’élaboration d’un plan énergie-climat communal. Autres actions prévues : participation au projet Commune ouVerte avec Pro Natura pour promouvoir la biodiversité locale, et entretien différencié des espaces verts communaux (fauches tardives, gestion écologique) . Un projet d’installation solaire communal est à l’étude (analyse technique en cours) . La commune poursuit également le programme Cité de l’énergie pour améliorer son efficacité énergétique."
Corsier-sur-Vevey,5884,3 428,"6,75",508,Vaud,Non (en cours),"(PECC en cours d’élaboration). La commune a néanmoins déjà lancé des mesures alignées sur un futur plan climat. Mobilité : installation d’une borne de recharge publique pour véhicules électriques sur le domaine communal (2 places équipées) afin de promouvoir la mobilité électrique. Bâtiments/Énergie : Corsier planifie l’optimisation énergétique de son patrimoine (études en lien avec le label Cité de l’énergie). Adaptation : la stratégie biodiversité 2030 est à l’agenda (gestion des bords du lac, verdissement urbain)."
Cossonay,5477,4 761,"8,29",574,Vaud,,
Crans,5713,2 439,"4,32",565,Vaud,Oui,"Transversal : mise en place d’un Fonds communal pour le Développement Durable afin de financer des actions climatiques locales . Mobilité : grâce à ce fonds, la commune subventionne l’achat de vélos (électriques ou non) et encourage l’usage des transports publics en offrant des aides financières aux abonnements pour les habitants . Bâtiments/Énergie : audit énergétique du patrimoine communal et passage de l’éclairage public en LED déjà réalisés. Des projets photovoltaïques sont étudiés sur les toitures communales. Sensibilisation : organisation de Repair Cafés intercommunaux et campagnes d’information aux écogestes."
Crassier,5714,1 277,"2,03",629,Vaud,Oui,"Transversal : la commune a voté en 2022 un crédit de CHF 48’000 pour s’attacher les services d’un bureau spécialisé et élaborer son PECC . Bâtiments : diagnostic énergétique réalisé sur les bâtiments communaux, en vue d’un plan d’assainissement (isolation, remplacement des chauffages fossiles). Mobilité : atelier participatif organisé (2023) pour identifier des mesures de mobilité douce (chemins sécurisés, connexion aux gares voisines, éventuelles aides à l’achat de vélos). Énergie : Crassier envisage des projets intercommunaux, par exemple se raccorder à un éventuel réseau thermique de Terre Sainte ou installer du solaire sur ses grands toits (écoles, halle polyvalente). Adaptation : volontarisme affiché pour préserver les corridors écologiques (forêt du Jura, rivière Le Boiron en aval). (Mesures tirées d’annonces et séances participatives sur le plan climat de Crassier.)"
Crissier,5583,9 334,"5,51",1694,Vaud,,
Cronay,5910,422.00,"6,59",64,Vaud,Oui,"Bâtiments/Énergie : le PECC de Cronay (petite commune rurale) cible la rénovation de l’école villageoise et de la maison de commune (isolation, remplacement du chauffage à mazout par une PAC ou une chaudière à pellets). Il encourage aussi les privés via des séances d’information sur les subventions cantonales (Programme Bâtiments). Mobilité : projet de mobilité partagée avec la commune voisine d’Yvonand (mise en place d’une pédibus pour les écoliers, réflexion sur un bus communal à la demande). Agriculture : Cronay travaille avec les agriculteurs locaux pour promouvoir les cultures moins émettrices et la plantation de haies (captation CO_, biodiversité). Transversal : sensibilisation des habitants aux déchets (compostage encouragé, journées village propres). (Plan adopté en 2023, mesures adaptées au contexte rural.)"
Croy,5752,397.00,"4,48",89,Vaud,Oui,"Bâtiments : programme d’assainissement énergétique des bâtiments communaux (ex: isolation de la mairie, chauffage de l’église passé aux pellets). Énergie : étude lancée pour une éventuelle petite centrale de chauffage à distance alimentant le collège et quelques immeubles (bois local). Encouragement des panneaux solaires sur bâtiments agricoles (toits de granges). Mobilité : coordination avec le Parc Jura vaudois pour développer les sentiers cyclables touristiques et navettes pour les randonneurs, afin de réduire la circulation automobile. Adaptation : Croy participe à des projets de renaturation du Nozon (cours d’eau) pour prévenir les crues et préserver la biodiversité aquatique, en lien avec le canton. Transversal : implication des citoyens via un sondage communal sur les actions climat prioritaires, et collaboration intercommunale (ex : partage d’un conseiller énergie itinérant sur le district)."
Cuarnens,5479,541.00,"7,14",76,Vaud,,
Cuarny,5911,242.00,"4,57",53,Vaud,,
Cudrefin,5456,1 877,"15,82",119,Vaud,,
Cugy,5516,2 725,"2,9",940,Vaud,Oui,"Bâtiments/Énergie : la commune se veut avant-gardiste : elle a autorisé les toits plats dans son règlement pour faciliter l’installation optimale de panneaux solaires . Un fonds alimenté par une taxe sur l’électricité locale subventionne les rénovations énergétiques privées (isolation, pompes à chaleur) . Éclairage public : Cugy a conclu un contrat de performance énergétique (CPE) avec Romande Énergie – première en Suisse romande – pour moderniser tout l’éclairage public en LEDs sans endettement, l’entreprise garantissant une réduction de consommation sous peine de pénalités . Mobilité : développement des transports publics (nouvelles lignes de bus régionales) et étude de navettes autonomes de quartier pour acheminer les habitants vers les arrêts principaux . Subventions communales pour l’achat de vélos électriques (via le fonds durabilité). Adaptation : la commune finance des projets de plantation (vergers et arbres isolés) pour limiter les îlots de chaleur et encourage les habitants à favoriser la nature en ville (hôtels à insectes, nichoirs)"
Curtilles,5669,306.00,"4,95",62,Vaud,,
Daillens,5480,1 062,"5,52",192,Vaud,Oui,"Bâtiments : le PECC de Daillens cible la réduction des consommations de chauffage de ses bâtiments publics (optimisation de la chaufferie du collège, isolation de la salle communale) et encourage les propriétaires privés à profiter des subventions cantonales pour isoler les anciennes maisons villageoises. Énergie : étude de faisabilité pour un parc photovoltaïque au sol sur une friche industrielle en périphérie (en partenariat avec Romande Énergie). Mobilité : amélioration de la sécurité piétonne le long de la route cantonale et création d’une piste cyclable vers Cossonay; promotion du covoiturage pour les pendulaires (aire de rendez-vous installée). Agriculture : sensibilisation des agriculteurs locaux à des pratiques bas-carbone (agriculture de conservation des sols, agroforesterie). Transversal : Daillens compte rejoindre le label Cité de l’énergie d’ici 2025 pour pérenniser ces actions."
Démoret,5912,160.00,"4,27",37,Vaud,,
Denens,5631,743.00,"3,29",226,Vaud,Oui,"Bâtiments/Énergie : Denens (commune viticole de Morges) a adopté un plan climat privilégiant l’efficacité énergétique des bâtiments communaux (rénovation de l’école et de la maison de commune) et la pose de panneaux solaires sur le couvert du vignoble communal. Mobilité : encouragement du vélopartage électrique intercommunal (borne de vélos en libre-service installée) et extension des horaires de bus pour les habitants sans voiture. Agriculture : actions conjointes avec les vignerons pour réduire l’empreinte carbone de la viticulture (par ex., expérimentation de tracteurs électriques dans les vignes). Adaptation : protection des sols face à l’érosion (plantation de haies brise-vent) et gestion économe de l’eau (système de récupération d’eau de pluie communal)."
Denges,5632,1 818,"1,66",1095,Vaud,Oui (intercommunal),"La commune de Denges a élaboré son plan énergie-climat dans le cadre d’un projet intercommunal Région Morges réunissant Denges, Échichens, Lonay, Lully et Tolochenaz . Bâtiments/Énergie : plan commun de transition énergétique pour les bâtiments publics (isolation, remplacement des chauffages fossiles) dans chaque commune participante, avec coordination régionale. Énergie : planification énergétique territoriale conjointe (identification de sources de chaleur renouvelable régionales, par ex. récupération de chaleur de l’usine d’incinération locale, solaire sur bâtiments communaux mutualisés) . Mobilité : actions coordonnées pour la mobilité douce entre communes (création de liaisons cyclables intercommunales, parc de vélos électriques en partage) . Adaptation : programme commun de protection de la biodiversité (corridor du Boiron, trame verte intercommunale) et de lutte contre les îlots de chaleur (plantation d’arbres, plans d’eau) . Transversal : mutualisation des compétences et échanges de bonnes pratiques entre communes (formations communes des élus, etc.)"
Dizy,5481,237.00,"3,04",78,Vaud,,
Dompierre,5671,253.00,"3,21",79,Vaud,,
Donneloye,5913,919.00,"9,01",102,Vaud,,
Duillier,5715,1 114,"4,11",271,Vaud,,
Dully,5855,626.00,"1,66",377,Vaud,,
Échallens,5518,6 570,"6,66",986,Vaud,,
Échandens,5633,2 909,"3,88",750,Vaud,,
Échichens,5634,3 183,"13,3",239,Vaud,Oui (intercommunal),"Fait partie intégrante du PECC intercommunal de Région Morges (avec Denges, Lonay, Lully, Tolochenaz) . Bâtiments : rénovation énergétique coordonnée des bâtiments communaux (par ex. écoles d’Échichens équipées en solaire, isolation du collège intercommunal) avec partage d’expérience entre communes. Mobilité : amélioration des connexions douces sur le plateau morgien (pistes cyclables reliant Échichens aux villages voisins) et incitation au covoiturage pour les trajets vers Morges. Énergie : planification régionale pour un réseau de chauffage à distance potentiel (valorisant la STEP de Morges ou le bois local) couvrant plusieurs communes, dont Échichens. Adaptation : programme de biodiversité régionale – Échichens contribue par la protection des vergers haute-tige et la gestion des forêts du pied du Jura."
Éclépens,5482,1 182,"5,81",203,Vaud,,
Écublens,5635,13 320,"5,71",2333,Vaud,,
Épalinges,5584,9 919,"4,57",2170,Vaud,,
Épendes,5914,388.00,"4,83",80,Vaud,,
Essertines-sur-Rolle,5856,761.00,"6,95",109,Vaud,Oui,"Bâtiments : le PECC d’Essertines/ Rolle (commune rurale de La Côte) vise l’amélioration de l’efficacité énergétique des bâtiments communaux (isolation de la grande salle, changement de chaudière de l’école vers une pompe à chaleur) et encourage la production solaire décentralisée (plusieurs toitures communales mises à disposition de coopératives solaires locales). Mobilité : la commune travaille avec Rolle pour aménager une connexion cyclable vers le bourg et promeut un système de transport à la demande pour les habitants sans voiture. Agriculture : valorisation du bois local pour le chauffage (approvisionnement d’une chaudière automatique communale) et sensibilisation des viticulteurs du coteau à des pratiques à faibles intrants. Adaptation : protection contre les événements extrêmes – un projet de retenue d’eau de pluie communal est à l’étude pour anticiper les sécheresses."
Essertines-sur-Yverdon,5520,1 104,"9,75",113,Vaud,Oui,"Bâtiments : audit énergétique réalisé sur l’ensemble des bâtiments communaux en 2022, suivi d’un plan d’actions (isolation de la maison de commune, optimisation du chauffage du collège avec sondes géothermiques prévues). Énergie : projet de parc solaire agricole – en partenariat avec des agriculteurs, des solaristes installeront des panneaux sur 4 bâtiments de ferme, avec soutien communal. Mobilité : amélioration de la desserte CarPostal et création de chemins piétonniers entre hameaux pour encourager la marche; réflexion sur un parking-relais pour faciliter le covoiturage vers Yverdon. Agriculture : promotion de la plantation de cultures couvertes et d’arbres isolés dans les champs pour stocker du carbone et réduire l’érosion (en lien avec l’Université de Lausanne qui mène un projet pilote sur place). Transversal : Essertines/Yverdon collabore avec l’association du Nord vaudois pour organiser des ateliers climat publics chaque année."
Étagnières,5521,1 173,"3,79",309,Vaud,,
Étoy,5636,2 913,"4,91",593,Vaud,Oui,"Bâtiments/Énergie : le Plan climat communal d’Etoy (adopté 2023) comprend un important volet de transition énergétique de la zone industrielle (parcs d’activité d’Etoy) : incitations à installer du photovoltaïque sur les toits des entrepôts et récupération de chaleur des processus industriels pour chauffer des bâtiments voisins. La commune-même a équipé l’école et le collège en panneaux solaires. Mobilité : plan de mobilité interne dans la zone commerciale (parkings avec bornes de recharge, cheminements pour piétons/cycles entre magasins) et amélioration du cadencement des bus vers la gare d’Allaman. Adaptation : Etoy participe à un projet pilote de végétalisation des abords d’autoroute (A1) pour limiter les pics de chaleur et la pollution, en collaboration avec le Canton. Transversal : sensibilisation des entreprises locales à la durabilité (création d’un groupe Entreprises pour le climat)."
Eysins,5716,1 739,"2,38",731,Vaud,,
Faoug,5458,902.00,"3,45",261,Vaud,Oui,"Bâtiments : Faoug (petite commune sur le lac de Morat) a élaboré un plan climat avec Morat (FR) pour assainir conjointement leurs bâtiments: isolation de la salle polivalente de Faoug, remplacement de chauffages électriques par une connexion au réseau de chaleur de Morat. Mobilité : amélioration de la ligne de bus entre Avenches et Morat via Faoug pour offrir une alternative à la voiture; création d’un tronçon de piste cyclable le long du lac pour déplacements et loisirs. Énergie : Faoug soutient le projet de parc éolien du Mont Vully (voisin) et planifie d’installer une micro-centrale solaire flottante pilote sur le port. Adaptation : suivis réguliers du niveau du lac et plan d’urgence en cas de crues; plantation de saules et roseaux sur les rives pour renforcer la protection rive."
Féchy,5427,906.00,"2,7",336,Vaud,,
